,Instrument,Business Description
0,OUT1V.HE,"Outokumpu Oyj is a Finland-based stainless steel company. It operates within four business areas, namely Stainless Coil EMEA (Europe, the Middle East and Africa), Stainless Coil Americas, Stainless APAC (Asia-Pacific) and High Performance Stainless & Alloys. The Company produces a range of stainless steel products, including hot and cold rolled, precision strip, tubular and stainless long products together with a range of stainless fittings, flanges and welding consumables. Its products are used in automotive, heavy transport, white goods, building and construction, as well as in process industries. The Company’s main production plants are located in Finland, Sweden and the United Kingdom. The Company operates in over 40 countries."
1,TYRES.HE,"Nokian Tyres plc is a Finland-based company active in the tire manufacturing industry. The Company diversifies its activities into three main business segments: Passenger Car Tires, Heavy Tires and Vianor. The Passenger Car Tires business segment comprises the development and production of summer and winter tires for cars and vans. The Heavy Tires business segment comprises tires for forestry machinery, special tires and agricultural machinery, tractors and industrial machinery. The Vianor business segment is specialized in car maintenance and tyre services. The tyre products cover all sorts of tyres for passenger cars, vans and trucks, as well as heavy specialist machinery. In addition to Nokian Tyres’ products, Vianor also represents and sells other tyre brands. The Company diversifies its activities into six geographical segments: Finland, Sweden, Norway, Russia and the CIS (Commonwealth of Independent States), Other Europe and North America."
2,VALMT.HE,"Valmet Oyj is a Finland-based company, which is engaged in the development and provision of services and technologies for the pulp, paper and energy industries. The Company’s services cover whole cycle from maintenance outsourcing to mill and plant improvements and spare parts. It operates in four business lines: Services, Pulp and Energy, and Paper, which comprise development of products and services and global customer projects in the areas of paper, pulp, tissues, paper and board, as well as bio-energy; and Automation, comprising process automation systems business. The Company operates domestically and abroad, including South, Central and North Americas, China, Asia and Europe."
3,METSB.HE,"Metsa Board Oyj (Metsa Board Corporation), formerly M-real Corporation, is a Finland-based company engaged in the production, marketing and sale of primary fiber paperboard and paper products. The Company operates within two business areas: Cartonboard, and Linerboard and Paper. The Cartonboard business area is the manufacturer of folding boxboards, wallpaper base papers and cast-coated specialty papers in Europe. The Linerboard and Paper business area’s product range includes coated and uncoated white-top kraftliners, uncoated fine papers, coated papers and marketing of pulp. The Company has international sales and manufacturing operations in three countries in Europe. The Company’s subsidiaries are active in Finland, Russia, Germany, the Netherlands, France, the United States and Switzerland, among others."
4,KNEBV.HE,"Kone Oyj is a Finland-based company, which operates within elevator and escalator industry. The Company manufactures elevators, escalators, and automatic doors, and offer solutions for equipment maintenance and modernization of buildings. The Company’s products and services include elevators, escalators and automatic doors, maintenance, and modernization solutions, advanced People Flow solutions, KONE People Flow design and consulting services, as well as solutions for special buildings and projects."
5,CGCBV.HE,"Cargotec Oyj is a Finland-based company engaged in the provision of cargo and load handling solutions and services. It operates in three business segments: MacGregor, Kalmar and Hiab. The MacGregor segment delivers marine cargo flow solutions used in general cargo, bulk, container and Roll-on/roll-off (RoRo) vessels, tankers, bulk terminals and offshore industry. The Kalmar segment's container and heavy load handling equipment and services are used in terminals, ports, heavy industry, and distribution centers. The Hiab segment delivers on-road load handling solutions, which are used for moving, lifting, loading and unloading products, goods or raw material from vehicles. The Company is active in three main service regions, namely Europe, Middle East and Africa (EMEA), Asia-Pacific and the Americas. In January 2014, the Company's MacGregor business acquired the mooring and loading systems unit from Aker Solutions; and in March 2014, it acquired Deep Water Solutions AS."
6,TELIA1.HE,"Telia Company AB, formerly TeliaSonera AB, provides communication services. The Company connects businesses, individuals, families and communities via fixed and mobile communication solutions. The Company's segments include Sweden, Europe and Other. The Sweden segment consists of the Company's mobile, broadband, television and fixed-line operations in Sweden. The Europe segment consists of the Company's mobile, broadband, television and fixed-line operations in Finland, Norway, Denmark, Lithuania, Latvia and Estonia. The Other segment includes the international carrier operations, customer financing and dunning operations. The Company's brands include Azercell in Azerbaijan; Telia, Call me and DLG Tele in Denmark; Telia and Diil in Estonia; Sonera and TeleFinland in Finland; Kcell and Activ in Kazakhstan; Moldcell in Moldova; Telia, Chess, MyCall and OneCall in Norway; Telia and Halebop in Sweden; Tcell in Tajikistan, and Ucell in Uzbekistan."
7,KEMIRA.HE,"Kemira Oyj is a Finland-based Company, which offers sustainable chemical solutions for water intensive industries. The Company’s focus is on pulp & paper, water treatment and oil & gas. Kemira’s business is organized into two customer-based segments: Pulp & Paper and Industry & Water. The Pulp & Paper segment serves customers across such industries as printing and writing, pulp, packaging, board, and tissue. Industry & Water serves customers across raw water, wastewater, industrial water, oil and gas. The Company has over 60 manufacturing sites worldwide."
8,KOJAMO.HE,"Kojamo Oyj is a Finland-based private residential real estate company. It offers rental apartments and housing services for tenants primarily in the Helsinki region, the Tampere, Turku, Kuopio and Lahti regions, as well as in the cities of Oulu and Jyvaskyla. The Company’s portfolio comprises over 35 000 rental apartments. The Company operates within two segments: Lumo and VVO. The Lumo segment includes commercial housing services and apartments primarily are free from restrictions under state-subsidized housing loans (ARAVA) and/or interest subsidy legislation. The VVO segment includes the rental apartments subject to restrictions on rent levels under ARAVA and/or interest subsidy legislation."
9,ORNBV.HE,"Orion Oyj, previously Orion Corporation, is a Finland-based company active within the pharmaceutical industry. The Company is engaged in the research and development, manufacture and marketing of human and veterinary pharmaceuticals and active pharmaceutical ingredients. The core therapy areas of the Company's pharmaceutical R&D are central nervous system (CNS) disorders, oncology and respiratory diseases."
